============================================================
initialize: Rawan four motion plugin loaded
version: 3.5.4-demo-tuning-switch
mode: auto-cycle demo
design: demo/tuning switch; separate upper/lower functions per state
hip policy: rightHip always skipped/native; normal addJointDeg skips hips; Walk uses tiny safe leftHip only
walk tune: gait-style two-pulse FK cycle; stronger knee/ankle lift + opposite arm swing
tuning note: set kAutoCycleDemoMode=false in RawanFourMotionPlugin.cpp to isolate selected animations
log path: D:\N8RO_2\userPlugins\sim\rawan-four-motion-plugin.log
model plugin service found: yes
animation prototype found: animationModelNathanHuman
register Rawan Idle: yes
register Rawan Walk: yes
register Rawan Push: yes
register Rawan Climb: yes
tick: plugin is active
auto-cycle start time captured: 0.050000
evaluate requested=Rawan Idle visibleState=Rawan Climb t=77.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=78.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=79.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=80.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=80.100000 local=0.050000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=81.050000 local=1.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=82.050000 local=2.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=83.050000 local=3.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=84.050000 local=4.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=85.050000 local=5.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=85.100000 local=0.050000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=86.050000 local=1.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=87.050000 local=2.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=88.050000 local=3.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=89.050000 local=4.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=90.050000 local=5.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=90.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=91.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=92.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=93.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=94.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=95.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=95.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=96.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=97.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=98.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=99.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=100.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=100.100000 local=0.050000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=101.050000 local=1.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=102.050000 local=2.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=103.050000 local=3.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=104.050000 local=4.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=105.050000 local=5.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=105.100000 local=0.050000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=106.050000 local=1.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=107.050000 local=2.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=108.050000 local=3.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=109.050000 local=4.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=110.050000 local=5.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=110.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=111.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=112.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=113.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=114.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=115.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=115.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=116.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=117.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=118.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=119.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=120.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=120.100000 local=0.050000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=121.050000 local=1.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=122.050000 local=2.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=123.050000 local=3.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=124.050000 local=4.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=125.050000 local=5.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=125.100000 local=0.050000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=126.050000 local=1.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=127.050000 local=2.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=128.050000 local=3.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=129.050000 local=4.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=130.050000 local=5.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=130.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=131.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=132.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=133.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=134.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=135.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=135.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=136.050000 local=1.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=137.050000 local=2.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=138.050000 local=3.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=139.050000 local=4.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=140.050000 local=5.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=140.100000 local=0.050000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=141.050000 local=1.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=142.050000 local=2.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=143.050000 local=3.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=144.050000 local=4.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=145.050000 local=5.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=145.100000 local=0.050000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=146.050000 local=1.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=147.050000 local=2.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=148.050000 local=3.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=149.050000 local=4.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=150.050000 local=5.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=150.100000 local=0.050000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=151.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=152.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=153.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=154.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=155.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=155.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=156.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=157.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=158.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=159.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=160.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=160.050000 local=0.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=161.000000 local=0.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=162.000000 local=1.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=163.000000 local=2.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=164.000000 local=3.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=165.000000 local=4.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=165.050000 local=0.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=166.000000 local=0.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=167.000000 local=1.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=168.000000 local=2.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=169.000000 local=3.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=170.000000 local=4.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=170.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=171.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=172.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=173.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=174.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=175.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=175.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=176.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=177.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=178.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=179.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=180.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=180.050000 local=0.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=181.000000 local=0.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=182.000000 local=1.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=183.000000 local=2.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=184.000000 local=3.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=185.000000 local=4.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=185.050000 local=0.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=186.000000 local=0.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=187.000000 local=1.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=188.000000 local=2.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=189.000000 local=3.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=190.000000 local=4.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=190.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=191.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=192.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=193.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=194.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=195.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=195.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=196.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=197.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=198.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=199.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=200.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=200.050000 local=0.000000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=201.000000 local=0.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=202.000000 local=1.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=203.000000 local=2.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=204.000000 local=3.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Idle t=205.000000 local=4.950000 jointOverrides=4
evaluate requested=Rawan Idle visibleState=Rawan Walk t=205.050000 local=0.000000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=206.000000 local=0.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=207.000000 local=1.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=208.000000 local=2.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=209.000000 local=3.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Walk t=210.000000 local=4.950000 jointOverrides=9
evaluate requested=Rawan Idle visibleState=Rawan Push t=210.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=211.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=212.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=213.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=214.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Push t=215.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=215.050000 local=0.000000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=216.000000 local=0.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=217.000000 local=1.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=218.000000 local=2.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=219.000000 local=3.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Climb t=220.000000 local=4.950000 jointOverrides=8
evaluate requested=Rawan Idle visibleState=Rawan Idle t=220.050000 local=0.000000 jointOverrides=4
